,Weight
TITAN,0.2
BAJAJFINSV,0.2
NESTLEIND,0.07433832025879211
HINDALCO,0.052523677252246236
TATASTEEL,0.033138002488961066
BAJAJ-AUTO,0.01000000000000265
KOTAKBANK,0.010000000000001553
ADANIPORTS,0.010000000000001466
HINDUNILVR,0.010000000000001423
ASIANPAINT,0.010000000000001365
DRREDDY,0.010000000000001195
INFY,0.010000000000001145
TECHM,0.010000000000001114
HEROMOTOCO,0.010000000000000949
ULTRACEMCO,0.010000000000000805
RELIANCE,0.01000000000000079
POWERGRID,0.010000000000000751
SHREECEM,0.010000000000000713
HCLTECH,0.010000000000000685
NTPC,0.010000000000000637
TCS,0.010000000000000607
CIPLA,0.010000000000000522
VEDL,0.010000000000000387
WIPRO,0.010000000000000302
BHARTIARTL,0.010000000000000238
HDFC,0.010000000000000212
SBIN,0.010000000000000184
BAJFINANCE,0.010000000000000075
SUNPHARMA,0.01
TATAMOTORS,0.01
ONGC,0.01
UPL,0.01
IOC,0.01
MM,0.01
MARUTI,0.01
LT,0.01
JSWSTEEL,0.01
ITC,0.01
INDUSINDBK,0.01
ICICIBANK,0.01
HDFCBANK,0.01
GRASIM,0.01
GAIL,0.01
EICHERMOT,0.01
COALINDIA,0.01
BRITANNIA,0.01
BPCL,0.01
AXISBANK,0.01
ZEEL,0.01
