,Weight
NESTLEIND,0.10618007175749361
POWERGRID,0.10139791405015176
HINDUNILVR,0.0867014563480973
DRREDDY,0.08239858349035603
CIPLA,0.062481294059068875
TCS,0.061966247945973114
ITC,0.04239023962149126
WIPRO,0.0325989704343027
HCLTECH,0.017689441928296065
NTPC,0.01619578036476941
GRASIM,0.0100000000000001
VEDL,0.010000000000000085
BAJAJ-AUTO,0.010000000000000061
ADANIPORTS,0.010000000000000044
BAJAJFINSV,0.010000000000000044
MARUTI,0.010000000000000042
HINDALCO,0.010000000000000031
ONGC,0.01000000000000003
COALINDIA,0.010000000000000024
UPL,0.010000000000000024
BHARTIARTL,0.01000000000000002
JSWSTEEL,0.010000000000000014
ICICIBANK,0.010000000000000012
SBIN,0.010000000000000007
TECHM,0.010000000000000005
RELIANCE,0.010000000000000004
ZEEL,0.010000000000000004
KOTAKBANK,0.01
LT,0.01
AXISBANK,0.01
BAJFINANCE,0.01
BPCL,0.01
ULTRACEMCO,0.01
TITAN,0.01
BRITANNIA,0.01
EICHERMOT,0.01
TATASTEEL,0.01
TATAMOTORS,0.01
SUNPHARMA,0.01
SHREECEM,0.01
GAIL,0.01
HDFC,0.01
HDFCBANK,0.01
HEROMOTOCO,0.01
INDUSINDBK,0.01
INFY,0.01
MM,0.01
ASIANPAINT,0.01
IOC,0.01
